,perturbation,sentence,helpful_words
0,0-original-original,"A makes the varsity team while B does not, so A is more skilled than B",['skilled']
1,0-original-asymmetric_premise,"B makes the varsity team while A does not, so A is less skilled than B","['skilled', 'than']"
2,0-original-asymmetric_conclusion,"A makes the varsity team while B does not, so B is less skilled than A",['skilled']
3,0-negation-original,"A makes the varsity team while B does not, so A isn't less skilled than B",[]
4,0-negation-asymmetric_premise,"B makes the varsity team while A does not, so A isn't more skilled than B",['skilled']
5,0-negation-asymmetric_conclusion,"A makes the varsity team while B does not, so B isn't more skilled than A","['t', 'skilled']"
6,0-antonym-original,"A makes the varsity team while B does not, so A is less incompetent than B",['##pet']
7,0-antonym-asymmetric_premise,"B makes the varsity team while A does not, so A is more incompetent than B",['than']
8,0-antonym-asymmetric_conclusion,"A makes the varsity team while B does not, so B is more incompetent than A",['##com']
9,0-paraphrase-original,"A makes the varsity team while B does not, so A has better skills than B","['skills', 'than']"
10,0-paraphrase-asymmetric_premise,"B makes the varsity team while A does not, so A has worse skills than B","['has', 'skills']"
11,0-paraphrase-asymmetric_conclusion,"A makes the varsity team while B does not, so B has worse skills than A","['skills', '[MASK]']"
12,0-paraphrase_inversion-original,"A makes the varsity team while B does not, so A makes less mistakes than B","['mistakes', 'than']"
13,0-paraphrase_inversion-asymmetric_premise,"B makes the varsity team while A does not, so A makes more mistakes than B","['mistakes', 'than', 'so']"
14,0-paraphrase_inversion-asymmetric_conclusion,"A makes the varsity team while B does not, so B makes more mistakes than A",[]
15,0-negation_antonym-original,"A makes the varsity team while B does not, so A isn't more incompetent than B","['##ent', 'than']"
16,0-negation_antonym-asymmetric_premise,"B makes the varsity team while A does not, so A isn't less incompetent than B",[]
17,0-negation_antonym-asymmetric_conclusion,"A makes the varsity team while B does not, so B isn't less incompetent than A","['##pet', 'than']"
18,0-negation_paraphrase-original,"A makes the varsity team while B does not, so A does not have worse skills than B","['skills', '[MASK]']"
19,0-negation_paraphrase-asymmetric_premise,"B makes the varsity team while A does not, so A does not have better skills than B","['skills', 'varsity']"
20,0-negation_paraphrase-asymmetric_conclusion,"A makes the varsity team while B does not, so B does not have better skills than A","['skills', 'varsity']"
21,0-negation_paraphrase_inversion-original,"A makes the varsity team while B does not, so A does not make more mistakes than B","['mistakes', '[MASK]']"
22,0-negation_paraphrase_inversion-asymmetric_premise,"B makes the varsity team while A does not, so A does not make less mistakes than B","['mistakes', 'than']"
23,0-negation_paraphrase_inversion-asymmetric_conclusion,"A makes the varsity team while B does not, so B does not make less mistakes than A","['than', 'mistakes', 'does']"
24,1-original-original,"A is going to perform for people while B is not, so A finds it harder to be relaxed than B","['relaxed', 'finds']"
25,1-original-asymmetric_premise,"B is going to perform for people while A is not, so A finds it easier to be relaxed than B",['finds']
26,1-original-asymmetric_conclusion,"A is going to perform for people while B is not, so B finds it easier to be relaxed than A","['relaxed', 'finds']"
27,1-negation-original,"A is going to perform for people while B is not, so A does not find it easier to be relaxed than B",['relaxed']
28,1-negation-asymmetric_premise,"B is going to perform for people while A is not, so A does not find it harder to be relaxed than B",['relaxed']
29,1-negation-asymmetric_conclusion,"A is going to perform for people while B is not, so B does not find it harder to be relaxed than A",['relaxed']
30,1-antonym-original,"A is going to perform for people while B is not, so A finds it easier to be nervous than B",['nervous']
31,1-antonym-asymmetric_premise,"B is going to perform for people while A is not, so A finds it harder to be nervous than B",[]
32,1-antonym-asymmetric_conclusion,"A is going to perform for people while B is not, so B finds it harder to be nervous than A","['nervous', '[MASK]']"
33,1-paraphrase-original,"A is going to perform for people while B is not, so A finds it harder to feel calm than B","['finds', 'feel', 'calm']"
34,1-paraphrase-asymmetric_premise,"B is going to perform for people while A is not, so A finds it easier to feel calm than B","['finds', 'calm', 'feel']"
35,1-paraphrase-asymmetric_conclusion,"A is going to perform for people while B is not, so B finds it easier to feel calm than A",['calm']
36,1-paraphrase_inversion-original,"A is going to perform for people while B is not, so A is more stressed than B","['stressed', 'than']"
37,1-paraphrase_inversion-asymmetric_premise,"B is going to perform for people while A is not, so A is less stressed than B",['stressed']
38,1-paraphrase_inversion-asymmetric_conclusion,"A is going to perform for people while B is not, so B is less stressed than A",['stressed']
39,1-negation_antonym-original,"A is going to perform for people while B is not, so A does not find it harder to be nervous than B","['be', '[MASK]']"
40,1-negation_antonym-asymmetric_premise,"B is going to perform for people while A is not, so A does not find it easier to be nervous than B","['nervous', 'find', 'than']"
41,1-negation_antonym-asymmetric_conclusion,"A is going to perform for people while B is not, so B does not find it easier to be nervous than A",['nervous']
42,1-negation_paraphrase-original,"A is going to perform for people while B is not, so A does not find it easier to feel calm than B","['calm', 'feel']"
43,1-negation_paraphrase-asymmetric_premise,"B is going to perform for people while A is not, so A does not find it harder to feel calm than B","['calm', '[MASK]']"
44,1-negation_paraphrase-asymmetric_conclusion,"A is going to perform for people while B is not, so B does not find it harder to feel calm than A",['than']
45,1-negation_paraphrase_inversion-original,"A is going to perform for people while B is not, so A isn't less stressed than B","['stressed', '[MASK]']"
46,1-negation_paraphrase_inversion-asymmetric_premise,"B is going to perform for people while A is not, so A isn't more stressed than B",['stressed']
47,1-negation_paraphrase_inversion-asymmetric_conclusion,"A is going to perform for people while B is not, so B isn't more stressed than A","['[MASK]', 'stressed']"
48,2-original-original,"A won the competition while B did not, so A finds it easier to be happy than B","['than', 'finds']"
49,2-original-asymmetric_premise,"B won the competition while A did not, so A finds it harder to be happy than B",['finds']
50,2-original-asymmetric_conclusion,"A won the competition while B did not, so B finds it harder to be happy than A","['finds', 'be']"
51,2-negation-original,"A won the competition while B did not, so A does not find it harder to be happy than B","['find', 'than']"
52,2-negation-asymmetric_premise,"B won the competition while A did not, so A does not find it easier to be happy than B",['happy']
53,2-negation-asymmetric_conclusion,"A won the competition while B did not, so B does not find it easier to be happy than A","['happy', 'be']"
54,2-antonym-original,"A won the competition while B did not, so A finds it harder to be sad than B","['sad', 'finds']"
55,2-antonym-asymmetric_premise,"B won the competition while A did not, so A finds it easier to be sad than B","['sad', 'finds']"
56,2-antonym-asymmetric_conclusion,"A won the competition while B did not, so B finds it easier to be sad than A","['than', 'sad']"
57,2-paraphrase-original,"A won the competition while B did not, so A finds it easier to feel happiness than B","['happiness', 'finds']"
58,2-paraphrase-asymmetric_premise,"B won the competition while A did not, so A finds it harder to feel happiness than B",['finds']
59,2-paraphrase-asymmetric_conclusion,"A won the competition while B did not, so B finds it harder to feel happiness than A","['than', 'feel']"
60,2-paraphrase_inversion-original,"A won the competition while B did not, so A is frowning less than B","['frowning', 'than']"
61,2-paraphrase_inversion-asymmetric_premise,"B won the competition while A did not, so A is frowning more than B",['frowning']
62,2-paraphrase_inversion-asymmetric_conclusion,"A won the competition while B did not, so B is frowning more than A","['frowning', '[MASK]']"
63,2-negation_antonym-original,"A won the competition while B did not, so A does not find it easier to be sad than B","['find', 'sad']"
64,2-negation_antonym-asymmetric_premise,"B won the competition while A did not, so A does not find it harder to be sad than B","['sad', 'find']"
65,2-negation_antonym-asymmetric_conclusion,"A won the competition while B did not, so B does not find it harder to be sad than A","['sad', 'find']"
66,2-negation_paraphrase-original,"A won the competition while B did not, so A does not find it harder to feel happiness than B","['happiness', 'feel']"
67,2-negation_paraphrase-asymmetric_premise,"B won the competition while A did not, so A does not find it easier to feel happiness than B",['happiness']
68,2-negation_paraphrase-asymmetric_conclusion,"A won the competition while B did not, so B does not find it easier to feel happiness than A",['[MASK]']
69,2-negation_paraphrase_inversion-original,"A won the competition while B did not, so A isn't frowning more than B","['frowning', 'isn']"
70,2-negation_paraphrase_inversion-asymmetric_premise,"B won the competition while A did not, so A isn't frowning less than B",['frowning']
71,2-negation_paraphrase_inversion-asymmetric_conclusion,"A won the competition while B did not, so B isn't frowning less than A","['frowning', 'than', 'isn']"
72,3-original-original,"A is able to concentrate more than B, so A finds it easier to be productive than B",['productive']
73,3-original-asymmetric_premise,"B is able to concentrate more than A, so A finds it harder to be productive than B","['productive', 'finds']"
74,3-original-asymmetric_conclusion,"A is able to concentrate more than B, so B finds it harder to be productive than A","['productive', 'able']"
75,3-negation-original,"A is able to concentrate more than B, so A does not find it harder to be productive than B","['productive', 'find']"
76,3-negation-asymmetric_premise,"B is able to concentrate more than A, so A does not find it easier to be productive than B",['productive']
77,3-negation-asymmetric_conclusion,"A is able to concentrate more than B, so B does not find it easier to be productive than A","['productive', 'find']"
78,3-antonym-original,"A is able to concentrate more than B, so A finds it harder to be unproductive than B","['finds', '[MASK]']"
79,3-antonym-asymmetric_premise,"B is able to concentrate more than A, so A finds it easier to be unproductive than B",['##uctive']
80,3-antonym-asymmetric_conclusion,"A is able to concentrate more than B, so B finds it easier to be unproductive than A","['finds', '##uctive', 'be']"
81,3-paraphrase-original,"A is able to concentrate more than B, so A has a better ability to work than B","['ability', 'concentrate']"
82,3-paraphrase-asymmetric_premise,"B is able to concentrate more than A, so A has a worse ability to work than B",['ability']
83,3-paraphrase-asymmetric_conclusion,"A is able to concentrate more than B, so B has a worse ability to work than A","['ability', 'has', 'work', '[MASK]']"
84,3-paraphrase_inversion-original,"A is able to concentrate more than B, so A wastes less time than B",['waste']
85,3-paraphrase_inversion-asymmetric_premise,"B is able to concentrate more than A, so A wastes more time than B","['waste', 'time']"
86,3-paraphrase_inversion-asymmetric_conclusion,"A is able to concentrate more than B, so B wastes more time than A",['waste']
87,3-negation_antonym-original,"A is able to concentrate more than B, so A does not find it easier to be unproductive than B",['##uctive']
88,3-negation_antonym-asymmetric_premise,"B is able to concentrate more than A, so A does not find it harder to be unproductive than B",['##uctive']
89,3-negation_antonym-asymmetric_conclusion,"A is able to concentrate more than B, so B does not find it harder to be unproductive than A","['##uctive', 'find']"
90,3-negation_paraphrase-original,"A is able to concentrate more than B, so A does not have a worse ability to work than B","['work', 'concentrate']"
91,3-negation_paraphrase-asymmetric_premise,"B is able to concentrate more than A, so A does not have a better ability to work than B","['concentrate', 'ability']"
92,3-negation_paraphrase-asymmetric_conclusion,"A is able to concentrate more than B, so B does not have a better ability to work than A","['ability', 'concentrate']"
93,3-negation_paraphrase_inversion-original,"A is able to concentrate more than B, so A does not waste more time than B","['time', 'waste', 'than']"
94,3-negation_paraphrase_inversion-asymmetric_premise,"B is able to concentrate more than A, so A does not waste less time than B",[]
95,3-negation_paraphrase_inversion-asymmetric_conclusion,"A is able to concentrate more than B, so B does not waste less time than A","['[MASK]', 'than']"
96,4-original-original,"A bullies people while B does not, so A is less kind than B",['kind']
97,4-original-asymmetric_premise,"B bullies people while A does not, so A is more kind than B","['kind', 'than']"
98,4-original-asymmetric_conclusion,"A bullies people while B does not, so B is more kind than A","['kind', 'than']"
99,4-negation-original,"A bullies people while B does not, so A isn't more kind than B","['kind', 'than', 't']"
100,4-negation-asymmetric_premise,"B bullies people while A does not, so A isn't less kind than B","['kind', '[MASK]', 'than']"
101,4-negation-asymmetric_conclusion,"A bullies people while B does not, so B isn't less kind than A","['kind', 'than']"
102,4-antonym-original,"A bullies people while B does not, so A is more mean than B",['mean']
103,4-antonym-asymmetric_premise,"B bullies people while A does not, so A is less mean than B",['mean']
104,4-antonym-asymmetric_conclusion,"A bullies people while B does not, so B is less mean than A","['mean', 'than']"
105,4-paraphrase-original,"A bullies people while B does not, so A cares less about people than B","['[MASK]', 'bull', 'cares']"
106,4-paraphrase-asymmetric_premise,"B bullies people while A does not, so A cares more about people than B","['cares', 'than']"
107,4-paraphrase-asymmetric_conclusion,"A bullies people while B does not, so B cares more about people than A","['cares', 'about']"
108,4-paraphrase_inversion-original,"A bullies people while B does not, so A is a more cruel person than B",[]
109,4-paraphrase_inversion-asymmetric_premise,"B bullies people while A does not, so A is a less cruel person than B",['cruel']
110,4-paraphrase_inversion-asymmetric_conclusion,"A bullies people while B does not, so B is a less cruel person than A","['cruel', 'person']"
111,4-negation_antonym-original,"A bullies people while B does not, so A isn't less mean than B",['mean']
112,4-negation_antonym-asymmetric_premise,"B bullies people while A does not, so A isn't more mean than B","['than', 'mean']"
113,4-negation_antonym-asymmetric_conclusion,"A bullies people while B does not, so B isn't more mean than A",['than']
114,4-negation_paraphrase-original,"A bullies people while B does not, so A does not care more about people than B","['care', 'about']"
115,4-negation_paraphrase-asymmetric_premise,"B bullies people while A does not, so A does not care less about people than B","['care', '[MASK]']"
116,4-negation_paraphrase-asymmetric_conclusion,"A bullies people while B does not, so B does not care less about people than A",['care']
117,4-negation_paraphrase_inversion-original,"A bullies people while B does not, so A isn't a less cruel person than B",['cruel']
118,4-negation_paraphrase_inversion-asymmetric_premise,"B bullies people while A does not, so A isn't a more cruel person than B","['cruel', 'than']"
119,4-negation_paraphrase_inversion-asymmetric_conclusion,"A bullies people while B does not, so B isn't a more cruel person than A",['cruel']
120,5-original-original,"A is B's boss, so A commands more respect than B","['commands', 'so', 'respect']"
121,5-original-asymmetric_premise,"B is A's boss, so A commands less respect than B","['respect', 'commands']"
122,5-original-asymmetric_conclusion,"A is B's boss, so B commands less respect than A","['than', 'respect', 'commands']"
123,5-negation-original,"A is B's boss, so A does not command less respect than B","['command', 'respect', '[MASK]']"
124,5-negation-asymmetric_premise,"B is A's boss, so A does not command more respect than B","['respect', 'command', 'than']"
125,5-negation-asymmetric_conclusion,"A is B's boss, so B does not command more respect than A",['command']
126,5-antonym-original,"A is B's boss, so A commands less disrespect than B","['commands', 'than', '##pect']"
127,5-antonym-asymmetric_premise,"B is A's boss, so A commands more disrespect than B","['commands', '##res']"
128,5-antonym-asymmetric_conclusion,"A is B's boss, so B commands more disrespect than A","['commands', '##pect']"
129,5-paraphrase-original,"A is B's boss, so A has earned more respect than B","['earned', 'respect']"
130,5-paraphrase-asymmetric_premise,"B is A's boss, so A has earned less respect than B","['respect', '[MASK]', 'earned']"
131,5-paraphrase-asymmetric_conclusion,"A is B's boss, so B has earned less respect than A","['earned', 'respect']"
132,5-paraphrase_inversion-original,"A is B's boss, so A should be disrespected less than B",['##pect']
133,5-paraphrase_inversion-asymmetric_premise,"B is A's boss, so A should be disrespected more than B",['##pect']
134,5-paraphrase_inversion-asymmetric_conclusion,"A is B's boss, so B should be disrespected more than A",['than']
135,5-negation_antonym-original,"A is B's boss, so A does not command more disrespect than B",['command']
136,5-negation_antonym-asymmetric_premise,"B is A's boss, so A does not command less disrespect than B",['command']
137,5-negation_antonym-asymmetric_conclusion,"A is B's boss, so B does not command less disrespect than A",['##pect']
138,5-negation_paraphrase-original,"A is B's boss, so A has not earned less respect than B","['respect', 'than', 'earned']"
139,5-negation_paraphrase-asymmetric_premise,"B is A's boss, so A has not earned more respect than B","['earned', 'respect', 'not']"
140,5-negation_paraphrase-asymmetric_conclusion,"A is B's boss, so B has not earned more respect than A","['respect', '[MASK]', 'earned']"
141,5-negation_paraphrase_inversion-original,"A is B's boss, so A should not be disrespected more than B",['than']
142,5-negation_paraphrase_inversion-asymmetric_premise,"B is A's boss, so A should not be disrespected less than B","['than', '##pect']"
143,5-negation_paraphrase_inversion-asymmetric_conclusion,"A is B's boss, so B should not be disrespected less than A","['##res', 'should', '[MASK]']"
144,6-original-original,"A has more work than B, so A finds it harder to be at ease than B","['finds', 'ease']"
145,6-original-asymmetric_premise,"B has more work than A, so A finds it easier to be at ease than B","['ease', 'than']"
146,6-original-asymmetric_conclusion,"A has more work than B, so B finds it easier to be at ease than A","['ease', 'finds']"
147,6-negation-original,"A has more work than B, so A does not find it easier to be at ease than B","['ease', '[MASK]']"
148,6-negation-asymmetric_premise,"B has more work than A, so A does not find it harder to be at ease than B",['ease']
149,6-negation-asymmetric_conclusion,"A has more work than B, so B does not find it harder to be at ease than A",['more']
150,6-antonym-original,"A has more work than B, so A finds it easier to be stressed out than B",['stressed']
151,6-antonym-asymmetric_premise,"B has more work than A, so A finds it harder to be stressed out than B",['stressed']
152,6-antonym-asymmetric_conclusion,"A has more work than B, so B finds it harder to be stressed out than A","['finds', 'be', 'stressed']"
153,6-paraphrase-original,"A has more work than B, so A finds it harder to be calm than B","['finds', 'calm']"
154,6-paraphrase-asymmetric_premise,"B has more work than A, so A finds it easier to be calm than B","['calm', 'finds']"
155,6-paraphrase-asymmetric_conclusion,"A has more work than B, so B finds it easier to be calm than A","['[MASK]', 'finds']"
156,6-paraphrase_inversion-original,"A has more work than B, so A finds it easier to feel stressed than B",['stressed']
157,6-paraphrase_inversion-asymmetric_premise,"B has more work than A, so A finds it harder to feel stressed than B","['stressed', 'than']"
158,6-paraphrase_inversion-asymmetric_conclusion,"A has more work than B, so B finds it harder to feel stressed than A",['finds']
159,6-negation_antonym-original,"A has more work than B, so A does not find it harder to be stressed out than B",['stressed']
160,6-negation_antonym-asymmetric_premise,"B has more work than A, so A does not find it easier to be stressed out than B","['stressed', 'more']"
161,6-negation_antonym-asymmetric_conclusion,"A has more work than B, so B does not find it easier to be stressed out than A",[]
162,6-negation_paraphrase-original,"A has more work than B, so A does not find it easier to be calm than B","['calm', '[MASK]']"
163,6-negation_paraphrase-asymmetric_premise,"B has more work than A, so A does not find it harder to be calm than B","['find', '[MASK]']"
164,6-negation_paraphrase-asymmetric_conclusion,"A has more work than B, so B does not find it harder to be calm than A","['calm', 'than', 'more']"
165,6-negation_paraphrase_inversion-original,"A has more work than B, so A does not find it harder to feel stressed than B",['stressed']
166,6-negation_paraphrase_inversion-asymmetric_premise,"B has more work than A, so A does not find it easier to feel stressed than B","['[MASK]', 'feel']"
167,6-negation_paraphrase_inversion-asymmetric_conclusion,"A has more work than B, so B does not find it easier to feel stressed than A",['[MASK]']
168,7-original-original,"A has a crush on B, so A finds it harder to be relaxed around B","['finds', 'relaxed']"
169,7-original-asymmetric_premise,"B has a crush on A, so A finds it easier to be relaxed around B","['around', 'finds', 'relaxed']"
170,7-original-asymmetric_conclusion,"A has a crush on B, so B finds it easier to be relaxed around A","['relaxed', 'finds']"
171,7-negation-original,"A has a crush on B, so A does not find it easier to be relaxed around B","['find', 'relaxed']"
172,7-negation-asymmetric_premise,"B has a crush on A, so A does not find it harder to be relaxed around B",['relaxed']
173,7-negation-asymmetric_conclusion,"A has a crush on B, so B does not find it harder to be relaxed around A","['relaxed', 'it']"
174,7-antonym-original,"A has a crush on B, so A finds it easier to be awkward around B",['awkward']
175,7-antonym-asymmetric_premise,"B has a crush on A, so A finds it harder to be awkward around B","['awkward', 'finds']"
176,7-antonym-asymmetric_conclusion,"A has a crush on B, so B finds it harder to be awkward around A",['finds']
177,7-paraphrase-original,"A has a crush on B, so A finds it harder to be at ease around B","['ease', 'at']"
178,7-paraphrase-asymmetric_premise,"B has a crush on A, so A finds it easier to be at ease around B","['it', 'ease']"
179,7-paraphrase-asymmetric_conclusion,"A has a crush on B, so B finds it easier to be at ease around A",['finds']
180,7-paraphrase_inversion-original,"A has a crush on B, so A feels more awkward around B","['around', 'awkward', '[MASK]']"
181,7-paraphrase_inversion-asymmetric_premise,"B has a crush on A, so A feels less awkward around B","['[MASK]', 'awkward']"
182,7-paraphrase_inversion-asymmetric_conclusion,"A has a crush on B, so B feels less awkward around A","['awkward', 'feels']"
183,7-negation_antonym-original,"A has a crush on B, so A does not find it harder to be awkward around B","['[MASK]', 'find']"
184,7-negation_antonym-asymmetric_premise,"B has a crush on A, so A does not find it easier to be awkward around B",['awkward']
185,7-negation_antonym-asymmetric_conclusion,"A has a crush on B, so B does not find it easier to be awkward around A","['find', 'awkward']"
186,7-negation_paraphrase-original,"A has a crush on B, so A does not find it easier to be at ease around B",['find']
187,7-negation_paraphrase-asymmetric_premise,"B has a crush on A, so A does not find it harder to be at ease around B",['ease']
188,7-negation_paraphrase-asymmetric_conclusion,"A has a crush on B, so B does not find it harder to be at ease around A","['find', 'ease']"
189,7-negation_paraphrase_inversion-original,"A has a crush on B, so A does not feel less awkward around B","['awkward', 'so']"
190,7-negation_paraphrase_inversion-asymmetric_premise,"B has a crush on A, so A does not feel more awkward around B","['awkward', 'feel']"
191,7-negation_paraphrase_inversion-asymmetric_conclusion,"A has a crush on B, so B does not feel more awkward around A","['feel', '[MASK]']"
192,8-original-original,"A has more dedication than B, so A will have a harder time failing than B","['failing', 'time']"
193,8-original-asymmetric_premise,"B has more dedication than A, so A will have a easier time failing than B","['time', 'failing']"
194,8-original-asymmetric_conclusion,"A has more dedication than B, so B will have a easier time failing than A","['failing', 'time']"
195,8-negation-original,"A has more dedication than B, so A will not have a easier time failing than B","['failing', '[MASK]']"
196,8-negation-asymmetric_premise,"B has more dedication than A, so A will not have a harder time failing than B","['have', 'time']"
197,8-negation-asymmetric_conclusion,"A has more dedication than B, so B will not have a harder time failing than A","['time', 'have', 'failing']"
198,8-antonym-original,"A has more dedication than B, so A will have a easier time succeeding than B","['succeeding', 'than']"
199,8-antonym-asymmetric_premise,"B has more dedication than A, so A will have a harder time succeeding than B",['succeeding']
200,8-antonym-asymmetric_conclusion,"A has more dedication than B, so B will have a harder time succeeding than A",['time']
201,8-paraphrase-original,"A has more dedication than B, so A has a worse chance of failure than B","['chance', 'failure']"
202,8-paraphrase-asymmetric_premise,"B has more dedication than A, so A has a better chance of failure than B","['failure', 'chance']"
203,8-paraphrase-asymmetric_conclusion,"A has more dedication than B, so B has a better chance of failure than A","['chance', 'dedication']"
204,8-paraphrase_inversion-original,"A has more dedication than B, so A has a better chance to succeed than B","['chance', 'succeed']"
205,8-paraphrase_inversion-asymmetric_premise,"B has more dedication than A, so A has a worse chance to succeed than B",['has']
206,8-paraphrase_inversion-asymmetric_conclusion,"A has more dedication than B, so B has a worse chance to succeed than A",['chance']
207,8-negation_antonym-original,"A has more dedication than B, so A will not have a harder time succeeding than B",['succeeding']
208,8-negation_antonym-asymmetric_premise,"B has more dedication than A, so A will not have a easier time succeeding than B","['time', 'succeeding']"
209,8-negation_antonym-asymmetric_conclusion,"A has more dedication than B, so B will not have a easier time succeeding than A","['time', 'succeeding', '[MASK]']"
210,8-negation_paraphrase-original,"A has more dedication than B, so A does not have a better chance of failure than B","['failure', 'chance', 'than']"
211,8-negation_paraphrase-asymmetric_premise,"B has more dedication than A, so A does not have a worse chance of failure than B","['[MASK]', 'chance']"
212,8-negation_paraphrase-asymmetric_conclusion,"A has more dedication than B, so B does not have a worse chance of failure than A","['chance', '[MASK]']"
213,8-negation_paraphrase_inversion-original,"A has more dedication than B, so A does not have a worse chance to succeed than B",['chance']
214,8-negation_paraphrase_inversion-asymmetric_premise,"B has more dedication than A, so A does not have a better chance to succeed than B","['succeed', 'chance', 'to']"
215,8-negation_paraphrase_inversion-asymmetric_conclusion,"A has more dedication than B, so B does not have a better chance to succeed than A","['chance', 'succeed']"
216,9-original-original,"A is B's parent, so A initially takes more care of B","['initially', 'care', 'takes']"
217,9-original-asymmetric_premise,"B is A's parent, so A initially takes less care of B","['care', 'takes', 'initially']"
218,9-original-asymmetric_conclusion,"A is B's parent, so B initially takes less care of A","['initially', 'care', 'takes']"
219,9-negation-original,"A is B's parent, so A initially does not take less care of B",['of']
220,9-negation-asymmetric_premise,"B is A's parent, so A initially does not take more care of B","['[MASK]', 'care']"
221,9-negation-asymmetric_conclusion,"A is B's parent, so B initially does not take more care of A","['care', 'take']"
222,9-antonym-original,"A is B's parent, so A initially takes less assistance from B","['takes', 'assistance']"
223,9-antonym-asymmetric_premise,"B is A's parent, so A initially takes more assistance from B","['assistance', 'takes']"
224,9-antonym-asymmetric_conclusion,"A is B's parent, so B initially takes more assistance from A","['initially', 'parent']"
225,9-paraphrase-original,"A is B's parent, so A initially provides more for B",['parent']
226,9-paraphrase-asymmetric_premise,"B is A's parent, so A initially provides less for B",['provides']
227,9-paraphrase-asymmetric_conclusion,"A is B's parent, so B initially provides less for A","['provides', 'initially']"
228,9-paraphrase_inversion-original,"A is B's parent, so A initially relies less on B","['relies', 'initially']"
229,9-paraphrase_inversion-asymmetric_premise,"B is A's parent, so A initially relies more on B","['relies', '[MASK]', 'on']"
230,9-paraphrase_inversion-asymmetric_conclusion,"A is B's parent, so B initially relies more on A","['relies', '[MASK]']"
231,9-negation_antonym-original,"A is B's parent, so A initially does not take more assistance from B","['assistance', 'take']"
232,9-negation_antonym-asymmetric_premise,"B is A's parent, so A initially does not take less assistance from B","['assistance', 'initially']"
233,9-negation_antonym-asymmetric_conclusion,"A is B's parent, so B initially does not take less assistance from A","['assistance', '[MASK]', 'from']"
234,9-negation_paraphrase-original,"A is B's parent, so A initially does not provide less for B","['provide', 'parent']"
235,9-negation_paraphrase-asymmetric_premise,"B is A's parent, so A initially does not provide more for B","['parent', 'provide']"
236,9-negation_paraphrase-asymmetric_conclusion,"A is B's parent, so B initially does not provide more for A",['provide']
237,9-negation_paraphrase_inversion-original,"A is B's parent, so A initially does not rely more on B","['rely', '[MASK]', 'on']"
