set_number,perturbation,asym_perturbs,avg_accuracy_score
0,original,original,0.0
0,original,asymmetric_premise,0.0
0,original,asymmetric_conclusion,0.0
0,negation,original,0.0
0,negation,asymmetric_premise,0.0
0,negation,asymmetric_conclusion,0.0
0,antonym,original,0.0
0,antonym,asymmetric_premise,0.0
0,antonym,asymmetric_conclusion,0.0
0,paraphrase,original,0.0
0,paraphrase,asymmetric_premise,0.0
0,paraphrase,asymmetric_conclusion,0.0
0,paraphrase_inversion,original,0.0
0,paraphrase_inversion,asymmetric_premise,0.0
0,paraphrase_inversion,asymmetric_conclusion,0.0
0,negation_antonym,original,0.0
0,negation_antonym,asymmetric_premise,0.0
0,negation_antonym,asymmetric_conclusion,0.0
0,negation_paraphrase,original,0.0
0,negation_paraphrase,asymmetric_premise,0.0
0,negation_paraphrase,asymmetric_conclusion,0.0
0,negation_paraphrase_inversion,original,0.0
0,negation_paraphrase_inversion,asymmetric_premise,0.0
0,negation_paraphrase_inversion,asymmetric_conclusion,0.0
1,original,original,0.0
1,original,asymmetric_premise,0.0
1,original,asymmetric_conclusion,0.0
1,negation,original,0.0
1,negation,asymmetric_premise,0.0
1,negation,asymmetric_conclusion,0.0
1,antonym,original,0.0
1,antonym,asymmetric_premise,0.0
1,antonym,asymmetric_conclusion,0.0
1,paraphrase,original,0.0
1,paraphrase,asymmetric_premise,0.0
1,paraphrase,asymmetric_conclusion,0.0
1,paraphrase_inversion,original,0.0
1,paraphrase_inversion,asymmetric_premise,0.0
1,paraphrase_inversion,asymmetric_conclusion,0.0
1,negation_antonym,original,0.0
1,negation_antonym,asymmetric_premise,0.0
1,negation_antonym,asymmetric_conclusion,0.0
1,negation_paraphrase,original,0.0
1,negation_paraphrase,asymmetric_premise,0.0
1,negation_paraphrase,asymmetric_conclusion,0.0
1,negation_paraphrase_inversion,original,0.0
1,negation_paraphrase_inversion,asymmetric_premise,0.0
1,negation_paraphrase_inversion,asymmetric_conclusion,0.0
2,original,original,0.0
2,original,asymmetric_premise,0.0
2,original,asymmetric_conclusion,0.0
2,negation,original,0.0
2,negation,asymmetric_premise,0.0
2,negation,asymmetric_conclusion,0.0
2,antonym,original,0.0
2,antonym,asymmetric_premise,0.0
2,antonym,asymmetric_conclusion,0.0
2,paraphrase,original,0.0
2,paraphrase,asymmetric_premise,0.0
2,paraphrase,asymmetric_conclusion,0.0
2,paraphrase_inversion,original,0.0
2,paraphrase_inversion,asymmetric_premise,0.0
2,paraphrase_inversion,asymmetric_conclusion,0.0
2,negation_antonym,original,0.0
2,negation_antonym,asymmetric_premise,0.0
2,negation_antonym,asymmetric_conclusion,0.0
2,negation_paraphrase,original,0.0
2,negation_paraphrase,asymmetric_premise,0.0
2,negation_paraphrase,asymmetric_conclusion,0.0
2,negation_paraphrase_inversion,original,0.0
2,negation_paraphrase_inversion,asymmetric_premise,0.0
2,negation_paraphrase_inversion,asymmetric_conclusion,0.0
3,original,original,0.0
3,original,asymmetric_premise,0.0
3,original,asymmetric_conclusion,0.0
3,negation,original,0.0
3,negation,asymmetric_premise,0.0
3,negation,asymmetric_conclusion,0.0
3,antonym,original,0.0
3,antonym,asymmetric_premise,0.0
3,antonym,asymmetric_conclusion,0.0
3,paraphrase,original,0.0
3,paraphrase,asymmetric_premise,0.0
3,paraphrase,asymmetric_conclusion,0.0
3,paraphrase_inversion,original,0.0
3,paraphrase_inversion,asymmetric_premise,0.0
3,paraphrase_inversion,asymmetric_conclusion,0.0
3,negation_antonym,original,0.0
3,negation_antonym,asymmetric_premise,0.0
3,negation_antonym,asymmetric_conclusion,0.0
3,negation_paraphrase,original,0.0
3,negation_paraphrase,asymmetric_premise,0.0
3,negation_paraphrase,asymmetric_conclusion,0.0
3,negation_paraphrase_inversion,original,0.0
3,negation_paraphrase_inversion,asymmetric_premise,0.0
3,negation_paraphrase_inversion,asymmetric_conclusion,0.0
4,original,original,0.0
4,original,asymmetric_premise,0.0
4,original,asymmetric_conclusion,0.0
4,negation,original,0.0
4,negation,asymmetric_premise,0.0
4,negation,asymmetric_conclusion,0.0
4,antonym,original,0.0
4,antonym,asymmetric_premise,0.0
4,antonym,asymmetric_conclusion,0.0
4,paraphrase,original,0.0
4,paraphrase,asymmetric_premise,0.0
4,paraphrase,asymmetric_conclusion,0.0
4,paraphrase_inversion,original,0.0
4,paraphrase_inversion,asymmetric_premise,0.0
4,paraphrase_inversion,asymmetric_conclusion,0.0
4,negation_antonym,original,0.0
4,negation_antonym,asymmetric_premise,0.0
4,negation_antonym,asymmetric_conclusion,0.0
4,negation_paraphrase,original,0.0
4,negation_paraphrase,asymmetric_premise,0.0
4,negation_paraphrase,asymmetric_conclusion,0.0
4,negation_paraphrase_inversion,original,0.0
4,negation_paraphrase_inversion,asymmetric_premise,0.0
4,negation_paraphrase_inversion,asymmetric_conclusion,0.0
5,original,original,0.0
5,original,asymmetric_premise,0.0
5,original,asymmetric_conclusion,0.0
5,negation,original,0.6
5,negation,asymmetric_premise,0.0
5,negation,asymmetric_conclusion,0.0
5,antonym,original,0.0
5,antonym,asymmetric_premise,0.0
5,antonym,asymmetric_conclusion,0.0
5,paraphrase,original,0.0
5,paraphrase,asymmetric_premise,0.0
5,paraphrase,asymmetric_conclusion,0.0
5,paraphrase_inversion,original,0.0
5,paraphrase_inversion,asymmetric_premise,0.0
5,paraphrase_inversion,asymmetric_conclusion,0.0
5,negation_antonym,original,0.0
5,negation_antonym,asymmetric_premise,0.0
5,negation_antonym,asymmetric_conclusion,0.0
5,negation_paraphrase,original,0.0
5,negation_paraphrase,asymmetric_premise,0.0
5,negation_paraphrase,asymmetric_conclusion,0.0
5,negation_paraphrase_inversion,original,0.0
5,negation_paraphrase_inversion,asymmetric_premise,0.0
5,negation_paraphrase_inversion,asymmetric_conclusion,0.0
6,original,original,0.0
6,original,asymmetric_premise,0.0
6,original,asymmetric_conclusion,0.0
6,negation,original,0.0
6,negation,asymmetric_premise,0.0
6,negation,asymmetric_conclusion,0.0
6,antonym,original,0.0
6,antonym,asymmetric_premise,0.0
6,antonym,asymmetric_conclusion,0.0
6,paraphrase,original,0.0
6,paraphrase,asymmetric_premise,0.0
6,paraphrase,asymmetric_conclusion,0.0
6,paraphrase_inversion,original,0.0
6,paraphrase_inversion,asymmetric_premise,0.0
6,paraphrase_inversion,asymmetric_conclusion,0.0
6,negation_antonym,original,0.0
6,negation_antonym,asymmetric_premise,0.0
6,negation_antonym,asymmetric_conclusion,0.0
6,negation_paraphrase,original,0.0
6,negation_paraphrase,asymmetric_premise,0.0
6,negation_paraphrase,asymmetric_conclusion,0.0
6,negation_paraphrase_inversion,original,0.0
6,negation_paraphrase_inversion,asymmetric_premise,0.0
6,negation_paraphrase_inversion,asymmetric_conclusion,0.0
7,original,original,0.0
7,original,asymmetric_premise,0.0
7,original,asymmetric_conclusion,0.0
7,negation,original,0.0
7,negation,asymmetric_premise,0.0
7,negation,asymmetric_conclusion,0.0
7,antonym,original,0.0
7,antonym,asymmetric_premise,0.0
7,antonym,asymmetric_conclusion,0.0
7,paraphrase,original,0.0
7,paraphrase,asymmetric_premise,0.0
7,paraphrase,asymmetric_conclusion,0.0
7,paraphrase_inversion,original,0.0
7,paraphrase_inversion,asymmetric_premise,0.0
7,paraphrase_inversion,asymmetric_conclusion,0.0
7,negation_antonym,original,0.0
7,negation_antonym,asymmetric_premise,0.0
7,negation_antonym,asymmetric_conclusion,0.0
7,negation_paraphrase,original,0.0
7,negation_paraphrase,asymmetric_premise,0.0
7,negation_paraphrase,asymmetric_conclusion,0.0
7,negation_paraphrase_inversion,original,0.0
7,negation_paraphrase_inversion,asymmetric_premise,0.0
7,negation_paraphrase_inversion,asymmetric_conclusion,0.0
8,original,original,0.0
8,original,asymmetric_premise,0.0
8,original,asymmetric_conclusion,0.0
8,negation,original,0.0
8,negation,asymmetric_premise,0.0
8,negation,asymmetric_conclusion,0.0
8,antonym,original,0.0
8,antonym,asymmetric_premise,0.0
8,antonym,asymmetric_conclusion,0.0
8,paraphrase,original,0.0
8,paraphrase,asymmetric_premise,0.0
8,paraphrase,asymmetric_conclusion,0.0
8,paraphrase_inversion,original,0.0
8,paraphrase_inversion,asymmetric_premise,0.0
8,paraphrase_inversion,asymmetric_conclusion,0.0
8,negation_antonym,original,0.0
8,negation_antonym,asymmetric_premise,0.0
8,negation_antonym,asymmetric_conclusion,0.0
8,negation_paraphrase,original,0.0
8,negation_paraphrase,asymmetric_premise,0.0
8,negation_paraphrase,asymmetric_conclusion,0.0
8,negation_paraphrase_inversion,original,0.0
8,negation_paraphrase_inversion,asymmetric_premise,0.0
8,negation_paraphrase_inversion,asymmetric_conclusion,0.0
9,original,original,0.0
9,original,asymmetric_premise,0.0
9,original,asymmetric_conclusion,0.0
9,negation,original,0.0
9,negation,asymmetric_premise,0.0
9,negation,asymmetric_conclusion,0.0
9,antonym,original,0.0
9,antonym,asymmetric_premise,0.0
9,antonym,asymmetric_conclusion,0.0
9,paraphrase,original,0.0
9,paraphrase,asymmetric_premise,0.0
9,paraphrase,asymmetric_conclusion,0.0
9,paraphrase_inversion,original,0.0
9,paraphrase_inversion,asymmetric_premise,0.0
9,paraphrase_inversion,asymmetric_conclusion,0.0
9,negation_antonym,original,0.0
9,negation_antonym,asymmetric_premise,0.5
9,negation_antonym,asymmetric_conclusion,0.8
9,negation_paraphrase,original,0.0
9,negation_paraphrase,asymmetric_premise,0.0
9,negation_paraphrase,asymmetric_conclusion,0.0
9,negation_paraphrase_inversion,original,0.0
9,negation_paraphrase_inversion,asymmetric_premise,0.0
9,negation_paraphrase_inversion,asymmetric_conclusion,0.0
10,original,original,0.0
10,original,asymmetric_premise,0.0
10,original,asymmetric_conclusion,0.0
10,negation,original,0.0
10,negation,asymmetric_premise,0.0
10,negation,asymmetric_conclusion,0.0
10,antonym,original,0.0
10,antonym,asymmetric_premise,0.0
10,antonym,asymmetric_conclusion,0.0
10,paraphrase,original,0.0
10,paraphrase,asymmetric_premise,0.0
10,paraphrase,asymmetric_conclusion,0.0
10,paraphrase_inversion,original,0.0
10,paraphrase_inversion,asymmetric_premise,0.0
10,paraphrase_inversion,asymmetric_conclusion,0.0
10,negation_antonym,original,0.0
10,negation_antonym,asymmetric_premise,0.0
10,negation_antonym,asymmetric_conclusion,0.0
10,negation_paraphrase,original,0.0
10,negation_paraphrase,asymmetric_premise,0.0
10,negation_paraphrase,asymmetric_conclusion,0.0
10,negation_paraphrase_inversion,original,0.0
10,negation_paraphrase_inversion,asymmetric_premise,0.0
10,negation_paraphrase_inversion,asymmetric_conclusion,0.0
11,original,original,0.0
11,original,asymmetric_premise,0.0
11,original,asymmetric_conclusion,0.0
11,negation,original,0.0
11,negation,asymmetric_premise,0.0
11,negation,asymmetric_conclusion,0.0
11,antonym,original,0.0
11,antonym,asymmetric_premise,0.0
11,antonym,asymmetric_conclusion,0.0
11,paraphrase,original,0.0
11,paraphrase,asymmetric_premise,0.0
11,paraphrase,asymmetric_conclusion,0.0
11,paraphrase_inversion,original,0.0
11,paraphrase_inversion,asymmetric_premise,0.0
11,paraphrase_inversion,asymmetric_conclusion,0.0
11,negation_antonym,original,0.0
11,negation_antonym,asymmetric_premise,0.0
11,negation_antonym,asymmetric_conclusion,0.0
11,negation_paraphrase,original,0.0
11,negation_paraphrase,asymmetric_premise,0.0
11,negation_paraphrase,asymmetric_conclusion,0.0
11,negation_paraphrase_inversion,original,0.0
11,negation_paraphrase_inversion,asymmetric_premise,0.0
11,negation_paraphrase_inversion,asymmetric_conclusion,0.0
12,original,original,0.0
12,original,asymmetric_premise,0.0
12,original,asymmetric_conclusion,0.0
12,negation,original,0.0
12,negation,asymmetric_premise,0.0
12,negation,asymmetric_conclusion,0.0
12,antonym,original,0.0
12,antonym,asymmetric_premise,0.0
12,antonym,asymmetric_conclusion,0.0
12,paraphrase,original,0.0
12,paraphrase,asymmetric_premise,0.0
12,paraphrase,asymmetric_conclusion,0.0
12,paraphrase_inversion,original,0.0
12,paraphrase_inversion,asymmetric_premise,0.0
12,paraphrase_inversion,asymmetric_conclusion,0.0
12,negation_antonym,original,0.0
12,negation_antonym,asymmetric_premise,0.0
12,negation_antonym,asymmetric_conclusion,0.0
12,negation_paraphrase,original,0.0
12,negation_paraphrase,asymmetric_premise,0.0
12,negation_paraphrase,asymmetric_conclusion,0.0
12,negation_paraphrase_inversion,original,0.0
12,negation_paraphrase_inversion,asymmetric_premise,0.0
12,negation_paraphrase_inversion,asymmetric_conclusion,0.0
13,original,original,0.0
13,original,asymmetric_premise,0.0
13,original,asymmetric_conclusion,0.0
13,negation,original,0.0
13,negation,asymmetric_premise,0.0
13,negation,asymmetric_conclusion,0.0
13,antonym,original,0.0
13,antonym,asymmetric_premise,0.0
13,antonym,asymmetric_conclusion,0.0
13,paraphrase,original,0.0
13,paraphrase,asymmetric_premise,0.0
13,paraphrase,asymmetric_conclusion,0.0
13,paraphrase_inversion,original,0.0
13,paraphrase_inversion,asymmetric_premise,0.0
13,paraphrase_inversion,asymmetric_conclusion,0.0
13,negation_antonym,original,0.0
13,negation_antonym,asymmetric_premise,0.0
13,negation_antonym,asymmetric_conclusion,0.0
13,negation_paraphrase,original,0.0
13,negation_paraphrase,asymmetric_premise,0.0
13,negation_paraphrase,asymmetric_conclusion,0.0
13,negation_paraphrase_inversion,original,0.0
13,negation_paraphrase_inversion,asymmetric_premise,0.0
13,negation_paraphrase_inversion,asymmetric_conclusion,0.0
14,original,original,0.0
14,original,asymmetric_premise,0.0
14,original,asymmetric_conclusion,0.0
14,negation,original,0.0
14,negation,asymmetric_premise,0.0
14,negation,asymmetric_conclusion,0.0
14,antonym,original,0.0
14,antonym,asymmetric_premise,0.0
14,antonym,asymmetric_conclusion,0.0
14,paraphrase,original,0.0
14,paraphrase,asymmetric_premise,0.0
14,paraphrase,asymmetric_conclusion,0.0
14,paraphrase_inversion,original,0.0
14,paraphrase_inversion,asymmetric_premise,0.0
14,paraphrase_inversion,asymmetric_conclusion,0.0
14,negation_antonym,original,0.0
14,negation_antonym,asymmetric_premise,0.0
14,negation_antonym,asymmetric_conclusion,0.0
14,negation_paraphrase,original,0.0
14,negation_paraphrase,asymmetric_premise,0.0
14,negation_paraphrase,asymmetric_conclusion,0.0
14,negation_paraphrase_inversion,original,0.0
14,negation_paraphrase_inversion,asymmetric_premise,0.0
14,negation_paraphrase_inversion,asymmetric_conclusion,0.0
15,original,original,0.0
15,original,asymmetric_premise,0.0
15,original,asymmetric_conclusion,0.0
15,negation,original,0.0
15,negation,asymmetric_premise,0.0
15,negation,asymmetric_conclusion,0.0
15,antonym,original,0.0
15,antonym,asymmetric_premise,0.0
15,antonym,asymmetric_conclusion,0.0
15,paraphrase,original,0.0
15,paraphrase,asymmetric_premise,0.0
15,paraphrase,asymmetric_conclusion,0.0
15,paraphrase_inversion,original,0.0
15,paraphrase_inversion,asymmetric_premise,0.0
15,paraphrase_inversion,asymmetric_conclusion,0.0
15,negation_antonym,original,0.0
15,negation_antonym,asymmetric_premise,0.0
15,negation_antonym,asymmetric_conclusion,0.0
15,negation_paraphrase,original,0.0
15,negation_paraphrase,asymmetric_premise,0.0
15,negation_paraphrase,asymmetric_conclusion,0.0
15,negation_paraphrase_inversion,original,0.0
15,negation_paraphrase_inversion,asymmetric_premise,0.0
15,negation_paraphrase_inversion,asymmetric_conclusion,0.0
16,original,original,0.0
16,original,asymmetric_premise,0.0
16,original,asymmetric_conclusion,0.0
16,negation,original,0.0
16,negation,asymmetric_premise,0.0
16,negation,asymmetric_conclusion,0.0
16,antonym,original,0.0
16,antonym,asymmetric_premise,0.0
16,antonym,asymmetric_conclusion,0.0
16,paraphrase,original,0.0
16,paraphrase,asymmetric_premise,0.0
16,paraphrase,asymmetric_conclusion,0.0
16,paraphrase_inversion,original,0.0
16,paraphrase_inversion,asymmetric_premise,0.0
16,paraphrase_inversion,asymmetric_conclusion,0.0
16,negation_antonym,original,0.0
16,negation_antonym,asymmetric_premise,0.0
16,negation_antonym,asymmetric_conclusion,0.0
16,negation_paraphrase,original,0.0
16,negation_paraphrase,asymmetric_premise,0.0
16,negation_paraphrase,asymmetric_conclusion,0.0
16,negation_paraphrase_inversion,original,0.0
16,negation_paraphrase_inversion,asymmetric_premise,0.0
16,negation_paraphrase_inversion,asymmetric_conclusion,0.0
17,original,original,0.0
17,original,asymmetric_premise,0.0
17,original,asymmetric_conclusion,0.0
17,negation,original,0.0
17,negation,asymmetric_premise,0.0
17,negation,asymmetric_conclusion,0.0
17,antonym,original,0.0
17,antonym,asymmetric_premise,0.0
17,antonym,asymmetric_conclusion,0.0
17,paraphrase,original,0.0
17,paraphrase,asymmetric_premise,0.0
17,paraphrase,asymmetric_conclusion,0.0
17,paraphrase_inversion,original,0.0
17,paraphrase_inversion,asymmetric_premise,0.0
17,paraphrase_inversion,asymmetric_conclusion,0.0
17,negation_antonym,original,0.0
17,negation_antonym,asymmetric_premise,0.0
17,negation_antonym,asymmetric_conclusion,0.0
17,negation_paraphrase,original,0.0
17,negation_paraphrase,asymmetric_premise,0.0
17,negation_paraphrase,asymmetric_conclusion,0.0
17,negation_paraphrase_inversion,original,0.0
17,negation_paraphrase_inversion,asymmetric_premise,0.0
17,negation_paraphrase_inversion,asymmetric_conclusion,0.0
18,original,original,0.0
18,original,asymmetric_premise,0.0
18,original,asymmetric_conclusion,0.0
18,negation,original,0.0
18,negation,asymmetric_premise,0.0
18,negation,asymmetric_conclusion,0.0
18,antonym,original,0.0
18,antonym,asymmetric_premise,0.0
18,antonym,asymmetric_conclusion,0.0
18,paraphrase,original,0.0
18,paraphrase,asymmetric_premise,0.0
18,paraphrase,asymmetric_conclusion,0.0
18,paraphrase_inversion,original,0.0
18,paraphrase_inversion,asymmetric_premise,0.0
18,paraphrase_inversion,asymmetric_conclusion,0.0
18,negation_antonym,original,0.0
18,negation_antonym,asymmetric_premise,0.0
18,negation_antonym,asymmetric_conclusion,0.0
18,negation_paraphrase,original,0.0
18,negation_paraphrase,asymmetric_premise,0.0
18,negation_paraphrase,asymmetric_conclusion,0.0
18,negation_paraphrase_inversion,original,0.0
18,negation_paraphrase_inversion,asymmetric_premise,0.0
18,negation_paraphrase_inversion,asymmetric_conclusion,0.0
19,original,original,0.0
19,original,asymmetric_premise,0.0
19,original,asymmetric_conclusion,0.0
19,negation,original,0.0
19,negation,asymmetric_premise,0.0
19,negation,asymmetric_conclusion,0.0
19,antonym,original,0.0
19,antonym,asymmetric_premise,0.0
19,antonym,asymmetric_conclusion,0.0
19,paraphrase,original,0.0
19,paraphrase,asymmetric_premise,0.0
19,paraphrase,asymmetric_conclusion,0.0
19,paraphrase_inversion,original,0.0
19,paraphrase_inversion,asymmetric_premise,0.0
19,paraphrase_inversion,asymmetric_conclusion,0.0
19,negation_antonym,original,0.0
19,negation_antonym,asymmetric_premise,0.0
19,negation_antonym,asymmetric_conclusion,0.0
19,negation_paraphrase,original,0.0
19,negation_paraphrase,asymmetric_premise,0.0
19,negation_paraphrase,asymmetric_conclusion,0.0
19,negation_paraphrase_inversion,original,0.0
19,negation_paraphrase_inversion,asymmetric_premise,0.0
19,negation_paraphrase_inversion,asymmetric_conclusion,0.0
